,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
216,RoboCop, Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox,Action, Crime, Sci-Fi,53.42,R ,"267,208"
217,Creed, Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad,Action, Drama, Sport,109.77,PG-13 ,"296,336"
218,Sherlock Holmes, Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong,Action, Adventure, Mystery,209.03,PG-13 ,"647,836"
219,Falling Down, Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin,Action, Crime, Drama,40.90,R ,"196,679"
220,Dawn of the Planet of the Apes, Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee,Action, Adventure, Drama,208.55,PG-13 ,"451,419"
221,Rise of the Planet of the Apes, James Franco, Andy Serkis, Freida Pinto, Karin Konoval,Action, Drama, Sci-Fi,176.76,PG-13 ,"539,960"
222,The Raid: Redemption, Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah,Action, Crime, Thriller,4.11,R ,"210,000"
223,End of Watch, Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera,Action, Adventure, Crime,41.00,R ,"256,531"
224,The Road Warrior, Mel Gibson, Bruce Spence, Michael Preston, Max Phipps,Action, Adventure, Sci-Fi,12.47,R ,"185,963"
225,Enter the Dragon, Bruce Lee, John Saxon, Jim Kelly, Ahna Capri,Action, Crime, Drama,25.00,R ,"107,635"
226,Star Trek: First Contact, Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton,Action, Adventure, Drama,92.00,PG-13 ,"128,711"
